provider_id	vehicle_id	option_id	option_name	option_type	unlock_fee_eur	reservation_fee_eur	fixed_fee_eur	trip_fee_eur	min_total_eur	cap_24h_eur	airport_fee_eur	drive_day_min_rate_eur	drive_night_min_rate_eur	park_day_min_rate_eur	park_night_min_rate_eur	km_rate_eur	fuel_included	parking_included	package_price_eur	included_min	included_km	over_km_rate_eur	over_day_min_rate_eur	over_night_min_rate_eur	daily_price_eur	daily_included_km	daily_unlimited_km	daily_over_km_rate_eur	source_url	notes
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2h_50km	2h + 50km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	24.99	120	50								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_2h_75km	2h + 75km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	31.90	120	75								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_3d_1000km	3 days + 1000km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	335.10	4320	1000								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_3d_100km	3 days + 100km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	87.10	4320	100								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_3d_1500km	3 days + 1500km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	472.80	4320	1500								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_3d_200km	3 days + 200km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	114.70	4320	200								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_3d_300km	3 days + 300km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	142.20	4320	300								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_3d_500km	3 days + 500km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	197.30	4320	500								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_3d_750km	3 days + 750km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	266.20	4320	750								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
bolt	bolt_audi_a3_sedan	bolt_audi_a3_sedan_pkg_3h_100km	3h + 100km	PACKAGE	0	0	0	0			3.5	0.13	0.13	0.13	0.13	0.29	TRUE	TRUE	44.40	180	100								(in-app)	Overage uses PAYG rates; airport fee is dropoff (MVP uses single toggle); as seen in-app on 2026-01-31; cloned from bolt_yaris_cross
